,EW,group
MG_1329,83.10609184,training
MG_125,122.1486666,training
MG_373,105.5344756,training
MG_154,130.2880202,training
MG_1296,80.64931801,training
MG_1434,123.6041503,training
MG_286,91.70221958,training
MG_1104,106.1383464,training
MG_831,53.51383586,training
MG_805,88.65189746,training
MG_1490,107.7022172,training
MG_153,96.83641235,training
MG_878,92.05963888,training
MG_1238,82.12787665,training
MG_1183,70.30609376,training
MG_926,99.43770229,training
MG_1113,85.06480122,training
MG_418,85.34093021,training
MG_671,74.17964157,training
MG_1510,77.79162869,training
MG_914,95.51641255,training
MG_882,103.1189921,training
MG_904,131.3770523,training
MG_1142,94.45189658,training
MG_89,92.86609037,training
MG_400,99.91899253,training
MG_122,99.88286351,training
MG_184,107.8993784,training
MG_772,90.15125207,training
MG_301,85.34351086,training
MG_483,95.62479963,training
MG_1037,78.608028,training
MG_1276,103.7331855,training
MG_87,97.15770263,training
MG_113,88.90480064,training
MG_666,106.308669,training
MG_707,91.75899376,training
MG_1236,112.9667325,training
MG_460,92.85318715,training
MG_722,68.03322267,training
MG_824,61.04157903,training
MG_251,95.85060605,training
MG_164,94.39125143,training
MG_132,84.64544645,training
MG_587,87.43345344,training
MG_196,86.34222038,training
MG_74,98.84544431,training
MG_745,89.81772675,training
MG_639,82.88931768,training
MG_428,106.0893142,training
MG_110,91.2944777,training
MG_1305,104.775766,training
MG_984,91.27641319,training
MG_102,100.765444,training
MG_763,71.2531904,training
MG_1062,92.10480016,training
MG_1401,96.24576103,training
MG_336,102.7815423,training
MG_619,80.90996314,training
MG_1168,59.60454619,training
MG_162,89.3228651,training
MG_95,99.45447647,training
MG_631,97.37060582,training
MG_449,79.61189882,training
MG_221,87.90867177,training
MG_1412,113.8183453,training
MG_664,76.29318964,training
MG_108,81.06996311,training
MG_1323,65.56544932,training
MG_1081,96.130606,training
MG_174,60.43512751,training
MG_249,63.64238376,training
MG_681,76.29060899,training
MG_629,88.2854459,training
MG_788,98.45060566,training
MG_1278,88.39899426,training
MG_1114,77.14222177,training
MG_829,62.53398701,training
MG_390,70.5615776,training
MG_994,96.09447698,training
MG_1035,94.23641274,training
MG_727,94.21576759,training
MG_1110,74.89189953,training
MG_396,86.03254301,training
MG_1048,75.58867361,training
MG_900,78.79899571,training
MG_762,111.6041521,training
MG_1467,72.56028697,training
MG_240,92.95383229,training
MG_615,112.7809261,training
MG_93,62.13577241,training
MG_1433,80.77660722,training
MG_1244,81.62738238,training
MG_138,104.9654434,training
MG_527,121.2273764,training
MG_163,97.34350905,training
MG_312,108.8170557,training
MG_1339,109.4983459,training
MG_750,113.500926,training
MG_633,67.51125547,training
MG_152,108.2983461,training
MG_581,93.26609031,training
MG_433,94.02479988,training
MG_77,114.2751194,training
MG_981,66.76567098,training
MG_190,92.71383233,training
MG_712,69.89249744,training
MG_308,97.03899296,training
MG_1139,118.9589897,training
MG_502,97.37060582,training
MG_426,100.889315,training
MG_623,89.26867156,training
MG_62,95.58350931,training
MG_1153,105.171895,training
MG_340,98.06608959,training
MG_634,107.6041527,training
MG_1501,71.75841285,training
MG_694,121.2970538,training
MG_1287,86.9538332,training
MG_1179,66.72802979,training
MG_856,86.79899451,training
MG_255,96.12286407,training
MG_299,82.43254355,training
MG_133,88.47125232,training
MG_323,88.62996198,training
MG_258,82.82429395,training
MG_591,92.40415496,training
MG_803,105.1628627,training
MG_1019,82.82711317,training
MG_237,89.83383276,training
MG_201,86.76802677,training
MG_111,91.42480026,training
MG_1012,101.2506052,training
MG_1443,108.7396364,training
MG_691,90.72157456,training
MG_1405,61.90216027,training
MG_499,84.51899485,training
MG_185,108.4764106,training
MG_1424,120.5073765,training
MG_636,87.39125248,training
MG_607,91.43808504,training
MG_316,104.1564113,training
MG_597,105.0777014,training
MG_343,104.6364112,training
MG_766,67.77964253,training
MG_935,74.81448018,training
MG_720,107.4609269,training
MG_646,94.6660901,training
MG_452,79.64931817,training
MG_54,91.44047575,training
MG_289,85.80286563,training
MG_820,68.0893199,training
MG_828,69.25339943,training
MG_246,82.38609195,training
MG_165,105.8673787,training
MG_798,74.91289714,training
MG_1032,113.0751196,training
MG_1460,86.15899461,training
MG_517,72.66222244,training
MG_669,101.5174204,training
MG_1025,77.13706048,training
MG_1482,102.7507737,training
MG_618,89.65060698,training
MG_1004,107.7331849,training
MG_76,121.4441506,training
MG_355,68.69305092,training
MG_1087,57.27125702,training
MG_1021,105.9060884,training
MG_161,103.010605,training
MG_792,76.65706055,training
MG_1397,112.1615713,training
MG_718,83.96544655,training
MG_640,98.46608953,training
MG_1309,97.63254127,training
MG_564,93.44931609,training
MG_602,71.09091478,training
MG_902,142.3164055,training
MG_1432,67.72286835,training
MG_737,111.9086682,training
MG_393,123.010602,training
MG_1310,95.96544474,training
MG_608,102.8533935,training
MG_511,96.39899306,training
MG_1469,77.75254426,training
MG_1171,72.79770629,training
MG_264,113.3693131,training
MG_1082,92.04802598,training
MG_528,92.29576788,training
MG_1007,81.94093072,training
MG_894,90.34480043,training
MG_1332,112.0067327,training
MG_1468,100.0686699,training
MG_1084,93.92157408,training
MG_1275,95.02092876,training
